room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
1338086,6756057,Private room,,Praha 2,159,4.5,3,1,1,39,2,50.073612,14.422723
1342713,7122756,Entire home/apt,,Praha 1,20,5,2,1,1,142,3,50.090799,14.422664
1342843,7122756,Entire home/apt,,Praha 1,7,5,4,2,2,146,3,50.090378,14.423629
1343890,6417368,Entire home/apt,,Praha 5,87,4.5,2,1,1,34,2,50.066634,14.402104
1351803,7122756,Entire home/apt,,Praha 5,36,5,3,1,1,49,2,50.070976,14.405847
1353152,7345121,Private room,,?eporyje,0,,4,1,2,102,1,50.034148,14.316811
1353879,838198,Entire home/apt,,Praha 1,109,4.5,,1,1,68,1,50.083163,14.415202
1355602,7357813,Entire home/apt,,Zli?ín,4,5,4,2,,52,2,50.061406,14.280707
1356336,5047242,Private room,,Praha 1,100,4.5,2,1,1,56,2,50.077514,14.427655
1357703,5345757,Entire home/apt,,Praha 6,17,4.5,2,1,1,87,1,50.107718,14.392408
1358862,7375677,Entire home/apt,,Praha 14,8,4.5,,2,1,56,2,50.104653,14.546738
1362150,7394469,Entire home/apt,,Praha 10,3,4.5,2,1,1,34,1,50.074155,14.450948
1362815,4711560,Private room,,Praha 3,2,4.5,3,1,1,34,1,50.083486,14.446154
1369989,5615284,Entire home/apt,,Praha 2,125,5,3,1,1,58,3,50.071317,14.41496
1374198,843497,Entire home/apt,,Praha 10,4,4.5,,2,1,33,2,50.054111,14.504278
1377061,7287777,Private room,,Praha 16,6,4.5,4,1,1,23,1,49.98483,14.362929
1379042,5284938,Entire home/apt,,Praha 5,31,5,4,1,2,110,,50.071808,14.409676
1379462,7177100,Entire home/apt,,Praha 2,24,5,4,1,1,75,2,50.075902,14.434326
1379714,7469380,Entire home/apt,,Praha 2,31,5,,2,2,90,2,50.075631,14.416964
